#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0051087	0.07	1	0.06728	0.971690529	1	24	26	chaperone binding	fbgn0034454
GO:0036158	0.07	1	0.0673	0.971690529	1	11	13	outer dynein arm assembly	fbgn0034566
GO:0009117	2.223	5	0.06759	0.971690529	5	174	182	nucleotide metabolic process	"fbgn0038237,fbgn0022710,fbgn0034225,fbgn0024150,fbgn0014391"
GO:0006753	2.226	5	0.06791	0.971690529	5	177	185	nucleoside phosphate metabolic process	"fbgn0038237,fbgn0022710,fbgn0034225,fbgn0024150,fbgn0014391"
GO:0006171	0.445	2	0.06807	0.971690529	2	14	15	cAMP biosynthetic process	"fbgn0022710,fbgn0024150"
GO:0035284	0.071	1	0.06921	0.971690529	1	5	5	brain segmentation	fbgn0034521
GO:0003684	0.072	1	0.06973	0.971690529	1	24	29	damaged DNA binding	fbgn0038704
GO:0004521	0.073	1	0.07013	0.971690529	1	31	31	endoribonuclease activity	fbgn0035838
GO:0007294	0.442	2	0.07076	0.971690529	2	28	28	germarium-derived oocyte fate determination	"fbgn0260934,fbgn0263391"
GO:0006662	0.073	1	0.07091	0.971690529	1	11	11	glycerol ether metabolic process	fbgn0011761
GO:0018904	0.073	1	0.07091	0.971690529	1	11	11	ether metabolic process	fbgn0011761
GO:0052866	0.073	1	0.07115	0.971690529	1	13	13	phosphatidylinositol phosphate phosphatase activity	fbgn0027506
GO:0034334	0.073	1	0.07126	0.971690529	1	9	10	adherens junction maintenance	fbgn0003392
